Zone,1,2,3,Total
t241,1282.0271612088266,1514.016381452168,307.78137753957265,3103.8249202005672
t242,891.0773676606847,1354.3866813670343,307.78137753957265,2553.2454265672914
t243,891.0773676606848,1351.2950951430341,238.9216151124108,2481.29407791613
t244,736.35718464,1195.9974007373805,41.94153348708424,1974.2961188644647
t245,736.35718464,1171.445464382333,0.0,1907.802649022333
t246,736.35718464,1040.9210622720002,0.0,1777.2782469120002
t247,316.6335893952001,0.0,0.0,316.6335893952001
t248,311.47908910272,0.0,0.0,311.47908910272
t249,311.47908910272,0.0,0.0,311.47908910272
t250,311.47908910272,0.0,0.0,311.47908910272
t251,357.7676130623849,0.0,0.0,357.7676130623849
t252,736.35718464,0.0,0.0,736.35718464
t253,736.35718464,0.0,0.0,736.35718464
t254,736.35718464,0.0,0.0,736.35718464
t255,736.35718464,0.0,0.0,736.35718464
t256,736.35718464,0.0,0.0,736.35718464
t257,736.35718464,0.0,0.0,736.35718464
t258,736.35718464,0.0,0.0,736.35718464
t259,1244.5135601310344,1026.2875175279999,178.81300809077536,2449.61408574981
t260,1756.154567126444,1626.4391598000002,312.4750442678429,3695.068771194287
t261,1689.1812377021542,1626.4391598000002,303.1862498484659,3618.8066473506206
t262,1218.48615548945,1452.154649674151,123.69998993817406,2794.340795101775
t263,1218.48615548945,1339.3263446295875,123.69998993817406,2681.5124900572114
t264,1218.48615548945,564.3743884506,123.69998993817406,1906.560533878224
t265,875.4694963870746,879.2813350021236,14.552939992726346,1769.3037713819244
t266,736.35718464,443.818066510197,0.0,1180.175251150197
t267,736.35718464,443.818066510197,0.0,1180.175251150197
t268,736.35718464,443.818066510197,0.0,1180.175251150197
t269,736.35718464,443.818066510197,0.0,1180.175251150197
t270,736.35718464,355.1594655154287,0.0,1091.5166501554286
t271,316.6335893952001,333.6064404115052,0.0,650.2400298067053
t272,311.47908910272,333.6064404115052,0.0,645.0855295142253
t273,311.47908910272,333.6064404115052,0.0,645.0855295142253
t274,311.47908910272,333.6064404115052,0.0,645.0855295142253
t275,311.47908910272,333.6064404115052,0.0,645.0855295142253
t276,311.47908910272,333.6064404115052,0.0,645.0855295142253
t277,311.47908910272,333.6064404115052,0.0,645.0855295142253
t278,322.03848854312514,333.6064404115052,0.0,655.6449289546304
t279,736.35718464,333.6064404115052,0.0,1069.9636250515052
t280,736.35718464,333.6064404115052,0.0,1069.9636250515052
t281,736.35718464,1162.249276912961,0.0,1898.606461552961
t282,941.6979636257068,1512.7084829802209,0.0,2454.4064466059276
t283,1512.543942878338,1626.4391598000002,0.0,3138.983102678338
t284,1533.4421081422965,1626.4391598000002,0.0,3159.8812679422967
t285,1359.2443159780014,1626.4391598000002,0.0,2985.6834757780016
t286,1533.4421081422965,1626.4391598000002,0.0,3159.8812679422967
t287,1139.6821559321622,1626.4391598000002,0.0,2766.1213157321627
t288,1139.6821559321622,1626.4391598000002,0.0,2766.1213157321627
t289,1000.9230752903675,1560.7485280894623,0.0,2561.67160337983
t290,990.5033591342262,1213.2451843659578,0.0,2203.748543500184
t291,990.5033591342262,924.87373387761,0.0,1915.3770930118362
t292,990.5033591342262,725.4951934110658,0.0,1715.9985525452921
t293,990.5033591342262,1006.1551840960352,0.0,1996.6585432302613
t294,1103.7475070950848,1260.174155806973,0.0,2363.9216629020575
t295,990.5033591342262,564.3743884506,0.0,1554.8777475848262
t296,990.5033591342262,564.3743884506,0.0,1554.8777475848262
t297,990.5033591342262,564.3743884506,0.0,1554.8777475848262
t298,990.5033591342262,564.3743884506,0.0,1554.8777475848262
t299,990.5033591342262,564.3743884506,0.0,1554.8777475848262
t300,990.5033591342262,564.3743884506,0.0,1554.8777475848262
t301,990.5033591342262,564.3743884506,0.0,1554.8777475848262
t302,990.5033591342262,564.3743884506,0.0,1554.8777475848262
t303,990.5033591342262,644.7475060360705,293.3086039351459,1928.5594691054425
t304,990.5033591342262,946.6881000216315,325.74763972436375,2262.9390988802215
t305,1238.6223516246366,1176.973134808215,325.74763972436375,2741.343126157215
t306,1168.1898678984917,1208.3446676556518,325.74763972436375,2702.282175278507
