Field,Value
econComponent.opex,14473600.0
environmentComponent.eco_value,-130080.4934085361
geometryComponent.V_d,"[571.7698629533423, 989.6016858807849, 17.95420201526567]"
geometryComponent.m_m,673340.9777013776
geometryComponent.m_f_tot,571769.8629533424
geometryComponent.A_c,"[2.790439426909508, 0.47675189049069083, 678.5840131753953]"
geometryComponent.A_lat_sub,"[0.044704, 329.8672286269283, 1.1969468010177111]"
geometryComponent.r_over_t,"[0.0, 118.11023622047244, 0.0]"
geometryComponent.I,"[7853.981633974483, 2.127296155492839, 39760.782021995816]"
geometryComponent.T,"[2.0, 35.0, 0.0254]"
geometryComponent.V_f_pct,0.32842588391403
geometryComponent.V_s_pct,0.4263557784855689
geometryComponent.GM,11.200199746198876
geometryComponent.mass,"[196201.81768163192, 209770.83181590398, 267368.3282038417]"
geometryComponent.A_fiberglass,823.0972752405257
ivc.D_f,20.0
ivc.D_s_over_D_f,0.3
ivc.h_f_over_D_f,0.2
ivc.T_s_over_h_s,0.7954545454545454
ivc.F_max,5.020641688484029
ivc.B_p,10.050847033484324
ivc.w_n,0.8018139489818994
ivc.M,0.0
ivc.rho_w,1000.0
ivc.g,9.8
